
Le contexte de multi-Çtendue en cours a ÇtÇ changÇ pour la multi-Çtendue 192.168.4.0.

Typeˇ: N - AUCUN, D - DHCP B - BOOTP, U - NON SPêCIFIê, R - RêSERVATION IP
==============================================================================
Adresse IP     - Masque SousRÇs. - ID unique         -  Expiration bail  -Type
==============================================================================

192.168.4.207    - 255.255.252.0  - 68-45-f1-02-bf-4a   -04/11/2025 08:13:29    -D-  P123456-026-206.domain.local
192.168.4.209    - 255.255.252.0  - b4-a2-eb-a2-3d-96   -04/11/2025 08:14:08    -D-  P123456-026-412.domain.local
192.168.4.211    - 255.255.252.0  - b4-a2-eb-a2-42-2a   -04/11/2025 09:09:48    -D-  P123456-016-015.domain.local
192.168.4.212    - 255.255.252.0  - 30-24-a9-ae-6f-93   -04/11/2025 08:42:34    -D-  P123456-040-007.domain.local
192.168.4.213    - 255.255.252.0  - 6c-02-e0-01-ba-67   -04/11/2025 07:52:12    -D-  P123456-025-020.domain.local
192.168.4.214    - 255.255.252.0  - b4-a2-eb-a2-3d-ea   -01/11/2025 08:46:33    -D-  P5113011300546W.domain.local
192.168.4.216    - 255.255.252.0  - 68-45-f1-0a-4c-57   -01/11/2025 17:13:38    -D-  P123456-021-214.domain.local
192.168.4.218    - 255.255.252.0  - b4-a2-eb-a2-3e-06   -03/11/2025 07:04:19    -D-  P123456-076-040.domain.local
192.168.4.219    - 255.255.252.0  - 68-45-f1-58-50-57   -02/11/2025 07:18:25    -D-  P123456-021-212.domain.local
192.168.4.220    - 255.255.252.0  - 68-45-f1-97-53-57   -04/11/2025 07:27:20    -D-  P123456-102-203.domain.local
192.168.4.221    - 255.255.252.0  - 68-45-f1-40-50-57   -04/11/2025 07:55:25    -D-  P123456-016-201.domain.local
192.168.4.224    - 255.255.252.0  - b4-a2-eb-a2-d9-aa   -03/11/2025 07:31:23    -D-  P123456-023-013.domain.local
192.168.4.225    - 255.255.252.0  - b4-a2-eb-a2-41-d6   -04/11/2025 07:13:46    -D-  P123456-740-214.domain.local
192.168.4.226    - 255.255.252.0  - bc-e9-2f-cf-89-1d   -03/11/2025 09:02:18    -D-  P123456-040-028.domain.local
192.168.4.227    - 255.255.252.0  - 68-45-f1-2f-89-4a   -04/11/2025 09:24:43    -D-  P123456-016-214.domain.local
192.168.4.228    - 255.255.252.0  - 9c-eb-e8-d1-f4-d4   -03/11/2025 07:10:07    -D-  P123456-108-404.domain.local
192.168.4.229    - 255.255.252.0  - 84-ba-59-53-3e-f4   -04/11/2025 07:58:27    -D-  P123456-400-001.domain.local
192.168.4.230    - 255.255.252.0  - b4-a2-eb-a2-3d-ab   -02/11/2025 07:05:42    -D-  P123456-026-401.domain.local
192.168.4.232    - 255.255.252.0  - b4-a2-eb-a2-3d-f8   -03/11/2025 15:20:33    -D-  P123456-400-018.domain.local
192.168.4.233    - 255.255.252.0  - b4-a2-eb-a2-3d-f6   -01/11/2025 09:08:13    -D-  P123456-079-035.domain.local
192.168.4.235    - 255.255.252.0  - 9c-eb-e8-db-53-05   -04/11/2025 08:03:02    -D-  P123456-108-406.domain.local
192.168.4.236    - 255.255.252.0  - 84-ba-59-77-18-1d   -04/11/2025 09:33:02    -D-  P123456-017-406.domain.local
192.168.4.237    - 255.255.252.0  - 6c-2b-59-93-51-f0   -03/11/2025 11:15:13    -D-  iDRAC-HGWHBX2.domain.local
192.168.4.238    - 255.255.252.0  - bc-e9-2f-cf-ba-3f   -02/11/2025 07:49:17    -D-  P123456-081-08X.domain.local
192.168.4.239    - 255.255.252.0  - 68-45-f1-3a-bf-4a   -03/11/2025 16:30:10    -D-  P123456-401-201.domain.local
192.168.4.240    - 255.255.252.0  - b4-a2-eb-a2-d9-f1   -03/11/2025 07:21:41    -D-  P123456-041-401.domain.local
