id;name;etat
WwanSvc;Service de configuration automatique WWAN;STOPPED
XblAuthManager;Gestionnaire d'authentification Xbox Live;STOPPED
XblGameSave;Jeu sauvegardé sur Xbox Live;STOPPED
XboxGipSvc;Xbox Accessory Management Service;STOPPED
XboxNetApiSvc;Service de mise en réseau Xbox Live;STOPPED
Zabbix Agent;Zabbix Agent;STOPPED
Zabbix Agent 2;Zabbix Agent 2;RUNNING
zdas;TEHTRIS EDR;RUNNING
ZoomCptService;Zoom Sharing Service;RUNNING
ZTHELPER;Service d'assistance ZTDNS;STOPPED
AarSvc_6c101ea;Agent Activation Runtime_6c101ea;STOPPED
BcastDVRUserService_6c101ea;Service utilisateur de diffusion et GameDVR_6c101ea;STOPPED
BluetoothUserService_6c101ea;Service de support des utilisateurs du Bluetooth_6c101ea;STOPPED
CaptureService_6c101ea;CaptureService_6c101ea;STOPPED
cbdhsvc_6c101ea;Service utilisateur du Presse-papiers_6c101ea;RUNNING
CDPUserSvc_6c101ea;Service pour utilisateur de plateforme d'appareils connectés_6c101ea;RUNNING
CloudBackupRestoreSvc_6c101ea;Service de restauration et de sauvegarde dans le cloud_6c101ea;STOPPED
ConsentUxUserSvc_6c101ea;Service utilisateur ConsentUX_6c101ea;STOPPED
CredentialEnrollmentManagerUserSvc_6c101ea;CredentialEnrollmentManagerUserSvc_6c101ea;STOPPED
DeviceAssociationBrokerSvc_6c101ea;DeviceAssociationBroker_6c101ea;STOPPED
DevicePickerUserSvc_6c101ea;DevicePicker_6c101ea;STOPPED
DevicesFlowUserSvc_6c101ea;Flux d'appareils_6c101ea;STOPPED
MessagingService_6c101ea;MessagingService_6c101ea;STOPPED
NPSMSvc_6c101ea;Lecture en cours du service du Responsable de la session_6c101ea;STOPPED
OneSyncSvc_6c101ea;Hôte de synchronisation_6c101ea;RUNNING
P9RdrService_6c101ea;P9RdrService_6c101ea;STOPPED
PenService_6c101ea;PenService_6c101ea;STOPPED
